Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-09 13:53:54.191000+00:00,3,False,True,True,3.933,9.488,-5.62,11.027,3.725,94.292,2015-09-09 13:52:06.075082496+00:00,537,570,1993,2059,169.471,9.127,-10.678,18.128,9.146,-10.455,18.178,-14.718,11.91,-35.193,-14.718,11.91,-35.193,0.709,0.711,18.309,18.219,56.48,25.965,-40.826,62.662,24.146,-41.856,-13.813,-194.558,-51.791,-17.038,-194.049,-51.977,5402162.0,152535.640625,5434783.0,154491.71875,7338542.0,219711.53125,7369204.5,220210.125,0.07,0.285,
2015-09-09 14:08:24.203000+00:00,3,True,True,True,3.824,9.607,-5.608,11.124,2.363,136.57,2015-09-09 14:08:56.481978496+00:00,2366,2399,2809,2875,53.246,12.205,-12.991,26.472,12.188,-13.364,26.619,14.198,19.632,32.934,14.198,19.632,32.934,0.633,0.632,7.023,7.628,68.266,72.029,57.74,73.713,67.279,53.453,-98.458,-134.351,-202.21,-95.467,-138.795,-214.32,6470939.5,624732.375,6360964.0,614400.9375,6955474.0,781458.875,6986083.0,788524.875,0.112,0.142,
2015-09-09 13:57:34.094000+00:00,3,False,True,True,3.907,9.517,-5.618,11.051,5.99,142.933,2015-09-09 14:01:31.578941952+00:00,136,169,2032,2098,138.638,9.127,-10.678,18.128,9.146,-10.456,18.178,5.093,9.269,-13.232,5.093,9.269,-13.232,0.709,0.711,13.472,13.492,56.481,25.964,-40.826,62.663,24.145,-41.856,-118.385,-171.752,-208.616,-121.067,-169.761,-210.977,5402162.0,491000.40625,5434783.0,499649.0,7338542.0,425179.25,7369204.5,431535.125,0.949,0.285,
2015-09-09 14:05:54.201000+00:00,3,True,True,True,3.843,9.587,-5.61,11.108,1.879,99.277,2015-09-09 14:08:56.481978496+00:00,3163,3196,786,852,174.368,12.205,-12.991,26.472,12.188,-13.364,26.619,-12.477,14.689,-23.218,-12.477,14.689,-23.218,0.633,0.632,16.905,15.551,68.266,72.029,57.74,73.713,67.279,53.453,7.076,-112.637,-46.783,7.309,-110.731,-43.837,6470939.5,192724.8125,6360964.0,257396.09375,6955474.0,269072.40625,6986083.0,372418.09375,0.281,0.142,
2015-09-09 14:03:54.200000+00:00,3,True,True,True,3.858,9.571,-5.612,11.095,1.556,164.495,2015-09-09 14:01:31.578941952+00:00,3100,3133,407,473,153.662,6.851,-7.694,7.966,6.939,-7.813,7.935,-10.888,14.716,-36.5,-10.888,14.716,-36.5,1.046,1.055,9.688,9.93,-30.117,60.813,-59.735,-30.912,60.441,-58.797,15.465,-229.53,-93.946,17.064,-231.359,-94.77,5954957.0,349490.6875,5953080.0,360483.6875,6811741.0,439856.09375,6888691.0,448037.65625,0.083,1.352,
2015-09-09 14:11:14.156000+00:00,3,False,True,True,3.805,9.627,-5.605,11.14,2.515,126.455,2015-09-09 14:08:56.481978496+00:00,1431,1464,1874,1940,53.246,12.205,-12.991,26.472,12.188,-13.364,26.619,14.198,19.632,32.934,14.198,19.632,32.934,0.633,0.632,7.023,7.628,68.266,72.029,57.74,73.713,67.279,53.453,-98.458,-134.351,-202.21,-95.467,-138.795,-214.32,6470939.5,624732.375,6360964.0,614400.9375,6955474.0,781458.875,6986083.0,788524.875,0.112,0.142,
2015-09-09 14:46:54.085000+00:00,3,False,False,True,3.524,9.905,-5.528,11.343,3.387,68.779,2015-09-09 14:50:24.849094016+00:00,590,623,348,414,31.372,9.859,-3.318,11.456,9.779,-3.29,11.35,12.828,-7.963,4.986,12.828,-7.963,4.986,0.684,0.688,12.717,12.958,12.087,-37.088,-25.441,12.439,-31.278,-24.453,-63.829,-179.786,-237.135,-64.865,-172.634,-236.838,8685122.0,718587.875,8672112.0,742816.4375,9482925.0,732579.375,9750787.0,736202.375,1.251,0.901,
2015-09-09 14:50:04.137000+00:00,3,True,True,True,3.499,9.927,-5.519,11.358,3.04,143.571,2015-09-09 14:50:24.849094016+00:00,590,623,1119,1185,145.181,9.859,-3.317,11.456,9.779,-3.289,11.351,-18.217,33.142,-24.994,-18.217,33.142,-24.994,0.684,0.688,9.865,11.306,12.09,-37.088,-25.44,12.442,-31.278,-24.453,-24.71,-261.047,-88.723,-25.764,-263.597,-94.641,8685122.0,439117.9375,8672112.0,459974.40625,9482925.0,668703.125,9750787.0,675384.875,0.125,0.901,
2015-09-09 14:57:24.093000+00:00,3,True,True,True,3.438,9.981,-5.495,11.394,2.082,130.152,2015-09-09 14:58:19.152383104+00:00,555,588,1793,1859,120.165,12.428,-9.061,21.998,12.344,-8.628,21.922,-2.196,-12.505,-16.264,-2.196,-12.505,-16.264,1.073,1.066,16.821,16.138,-49.223,-36.491,-53.225,-52.178,-37.789,-55.915,-38.734,-170.354,-166.972,-41.963,-176.271,-165.365,7148469.0,690574.625,7097825.0,724053.3125,7140153.0,602890.875,7092059.0,627190.8125,0.898,0.364,
2015-09-09 14:27:34.119000+00:00,3,True,True,True,3.678,9.758,-5.577,11.239,3.073,151.447,2015-09-09 14:28:24.014978432+00:00,1327,1360,2768,2834,173.363,14.335,-12.876,32.719,14.108,-12.875,32.816,-10.743,10.465,-34.301,-10.743,10.465,-34.301,0.68,0.678,21.671,21.538,35.233,25.34,1.42,33.793,29.881,2.49,-27.72,-137.836,-47.286,-27.026,-138.895,-47.261,5302131.0,172584.984375,5310928.5,172913.203125,4929612.0,213797.546875,5013265.0,213599.25,0.101,0.085,
