EventId,DateStart,Wsli_tot,Wcci_tot
20150911_101214,2015-09-11 10:12:14.093,-0.0122384,-0.0429861
20150911_101524,2015-09-11 10:15:24.146,-0.139042,-0.687266
20150911_104454,2015-09-11 10:44:54.169,-0.52731,-0.909086
20150911_105804,2015-09-11 10:58:04.080,-0.2613,-0.673632
20150911_110144,2015-09-11 11:01:44.133,-0.168904,-0.486858
20150911_113904,2015-09-11 11:39:04.113,-0.192882,-0.556624
20150911_114244,2015-09-11 11:42:44.166,-0.0634568,-0.378052
20150911_115044,2015-09-11 11:50:44.172,-0.529366,-0.839658
20150911_115134,2015-09-11 11:51:34.123,-0.0979611,-0.292481
20150911_130104,2015-09-11 13:01:04.179,-0.189714,-0.45468
20150911_135744,2015-09-11 13:57:44.126,-0.154406,-0.558182
20150911_140514,2015-09-11 14:05:14.132,-0.0939795,-0.164302
20150911_141004,2015-09-11 14:10:04.086,-0.109384,-0.540502
20150911_141904,2015-09-11 14:19:04.093,-0.04532,-0.123003
20150911_150824,2015-09-11 15:08:24.083,-0.127365,-0.662938
20150911_152114,2015-09-11 15:21:14.193,0.146928,0.335359
20150911_152244,2015-09-11 15:22:44.195,-0.194603,-0.471233
20150911_153444,2015-09-11 15:34:44.204,0.0729483,0.206139
20150911_153724,2015-09-11 15:37:24.107,0.162047,0.508145
20150911_154714,2015-09-11 15:47:14.215,0.0149894,0.0456696
20150911_155614,2015-09-11 15:56:14.222,0.246893,0.640467
20150911_155944,2015-09-11 15:59:44.075,0.377124,0.878098
20150911_160314,2015-09-11 16:03:14.078,-0.289813,-0.602012
20150911_160954,2015-09-11 16:09:54.133,-0.026767,-0.103664
20150911_161244,2015-09-11 16:12:44.085,-0.0699849,-0.300784
20150911_161524,2015-09-11 16:15:24.138,0.111127,0.457672
20150911_161724,2015-09-11 16:17:24.139,0.0604646,0.202223
20150911_161934,2015-09-11 16:19:34.191,0.034078,0.08977
20150911_162404,2015-09-11 16:24:04.195,0.0252255,0.126374
20150911_162834,2015-09-11 16:28:34.198,0.204853,0.374449
20150911_163634,2015-09-11 16:36:34.205,-0.121366,-0.23911
20150911_163924,2015-09-11 16:39:24.157,0.103397,0.275623
20150911_164054,2015-09-11 16:40:54.158,0.0148727,0.0955487
20150911_164404,2015-09-11 16:44:04.211,0.118839,0.400272
20150911_164714,2015-09-11 16:47:14.113,-0.0174683,-0.107974
20150911_165014,2015-09-11 16:50:14.116,-0.0825095,-0.25034
20150911_202914,2015-09-11 20:29:14.143,-0.077764,-0.332881
20150912_123914,2015-09-12 12:39:14.169,-0.0266155,-0.114793
20150913_103434,2015-09-13 10:34:34.184,0.222589,0.647231
20150913_104004,2015-09-13 10:40:04.188,-0.199524,-0.348639
20150913_105534,2015-09-13 10:55:34.201,-0.248372,-0.593389
20150913_110204,2015-09-13 11:02:04.206,-0.607088,-0.924843
20150913_110844,2015-09-13 11:08:44.111,-0.200873,-0.455665
20150913_111404,2015-09-13 11:14:04.216,-0.406029,-0.602515
20150913_112024,2015-09-13 11:20:24.171,-0.23608,-0.835186
20150913_112454,2015-09-13 11:24:54.174,-0.398432,-0.90131
20150913_142244,2015-09-13 14:22:44.120,-0.174158,-0.776554
20150913_150334,2015-09-13 15:03:34.103,0.278108,0.610565
20150913_151624,2015-09-13 15:16:24.213,0.154164,0.390228
20150913_152434,2015-09-13 15:24:34.120,-0.115412,-0.309763
20150913_152744,2015-09-13 15:27:44.173,-0.34529,-0.602852
20150913_153124,2015-09-13 15:31:24.076,-0.306399,-0.576175
20150913_172754,2015-09-13 17:27:54.171,0.0653163,0.266738
20150914_094254,2015-09-14 09:42:54.135,0.326818,0.886564
20150914_094644,2015-09-14 09:46:44.088,0.0204768,0.0607149
20150914_094834,2015-09-14 09:48:34.190,0.0412432,0.172829
