DateStart,Error
2015-09-08 17:56:34.196000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 17:02:04.153000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:23:34.187000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:21:44.085000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:25:34.188000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 16:42:04.137000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 14:53:04.201000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 08:28:14.183000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 18:15:04.211000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 09:01:04.158000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 08:55:24.104000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 08:50:24.100000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 12:37:04.179000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 12:58:14.096000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 13:42:44.132000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:21:24.214000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:35:14.224000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:30:24.120000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:08:24.102000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:12:44.206000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:04:14.199000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:23:34.165000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 14:23:14.165000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:33:44.174000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:37:14.177000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:06:04.150000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 20:26:04.112000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:46:34.184000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:50:34.187000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 18:39:14.075000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 16:12:04.205000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 16:09:44.103000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 18:49:54.133000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 18:54:04.187000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 19:00:04.192000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-10 19:06:14.179000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 19:13:44.103000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-10 12:26:54.211000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-09 19:34:14.120000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 12:42:34.123000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 20:15:24.203000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 19:49:54.182000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-09 19:48:24.181000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-10 12:31:54.215000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-10 18:23:24.194000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 19:12:14.183000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-10 19:57:14.220000+00:00,local variable 'ind_range_msp' referenced before assignment
