Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-11 15:08:24.083000+00:00,3,False,False,True,3.595,9.981,-5.48,11.387,1.258,59.487,2015-09-11 15:09:17.318080512+00:00,329,361,634,666,355,127.866,21.315,-8.943,29.731,21.46,-9.145,29.726,-1.634,-13.547,-25.675,-1.634,-13.547,-25.675,0.884,1.061,22.489,22.354,-56.395,-311.637,-114.227,-61.089,-293.014,-119.471,-0.04,-306.813,-143.497,1.31,-304.939,-143.758,36552336.0,4632895.0,37334864.0,4658353.0,49382332.0,4300072.0,51441168.0,4289304.0,4.163,1.091,
2015-09-11 16:09:54.133000+00:00,3,False,False,True,3.063,10.337,-5.175,11.56,2.847,59.316,2015-09-11 16:18:27.173752064+00:00,5141,5173,788,820,5618,100.941,10.728,-7.363,13.83,10.56,-7.339,13.861,-4.346,26.233,9.858,-4.346,26.233,9.858,0.781,0.776,20.11,20.204,29.105,-63.225,17.709,27.529,-60.761,17.009,-44.284,-287.506,-92.571,-47.246,-285.478,-93.014,51543744.0,4214202.5,52118012.0,4208864.0,56805924.0,5533080.0,58294796.0,5567427.5,4.166,4.048,
2015-09-11 16:12:44.085000+00:00,3,False,False,True,3.041,10.349,-5.16,11.564,2.39,37.747,2015-09-11 16:18:27.173752064+00:00,4008,4040,2265,2297,4485,103.047,10.728,-7.363,13.83,10.56,-7.339,13.861,-1.992,-24.329,-21.351,-1.992,-24.329,-21.351,0.781,0.776,17.485,17.413,29.105,-63.225,17.709,27.529,-60.761,17.009,32.346,-289.108,-185.686,33.243,-286.383,-185.247,51543744.0,5911115.5,52118012.0,5953350.0,56805924.0,6086563.0,58294796.0,6077510.5,5.41,4.048,
2015-09-11 16:15:24.138000+00:00,3,False,False,True,3.014,10.363,-5.142,11.568,2.39,37.747,2015-09-11 16:18:27.173752064+00:00,2943,2975,1200,1232,3420,103.047,10.728,-7.363,13.83,10.56,-7.339,13.861,-1.992,-24.329,-21.351,-1.992,-24.329,-21.351,0.781,0.776,17.485,17.413,29.105,-63.225,17.709,27.529,-60.761,17.009,32.346,-289.108,-185.686,33.243,-286.383,-185.247,51543744.0,5911115.5,52118012.0,5953350.0,56805924.0,6086563.0,58294796.0,6077510.5,5.41,4.048,
2015-09-11 16:17:24.139000+00:00,3,False,False,True,2.996,10.372,-5.129,11.571,2.39,37.747,2015-09-11 16:18:27.173752064+00:00,2943,2975,1200,1232,3420,103.047,10.728,-7.363,13.83,10.56,-7.339,13.861,-1.992,-24.329,-21.351,-1.992,-24.329,-21.351,0.781,0.776,17.485,17.413,29.105,-63.225,17.709,27.529,-60.761,17.009,32.346,-289.108,-185.686,33.243,-286.383,-185.247,51543744.0,5911115.5,52118012.0,5953350.0,56805924.0,6086563.0,58294796.0,6077510.5,5.41,4.048,
2015-09-11 16:19:34.191000+00:00,3,False,False,True,2.978,10.381,-5.117,11.574,2.268,47.855,2015-09-11 16:18:27.173752064+00:00,2943,2975,6527,6559,3420,131.17,10.728,-7.363,13.83,10.56,-7.339,13.861,-3.047,-6.53,-21.487,-3.047,-6.53,-21.487,0.781,0.776,32.136,32.174,29.105,-63.225,17.709,27.529,-60.761,17.009,-24.635,-347.22,-160.176,-25.998,-346.086,-161.346,51543744.0,4187768.5,52118012.0,4185447.25,56805924.0,4726749.5,58294796.0,4743867.5,9.405,4.048,
2015-09-11 16:24:04.195000+00:00,3,False,False,True,2.937,10.401,-5.089,11.58,2.058,45.147,2015-09-11 16:18:27.173752064+00:00,1275,1307,4978,5010,1752,104.775,10.728,-7.363,13.83,10.56,-7.339,13.861,13.378,-7.205,-23.842,13.378,-7.205,-23.842,0.781,0.776,33.669,33.342,29.105,-63.225,17.709,27.529,-60.761,17.009,-20.016,-349.523,-179.648,-22.594,-351.85,-179.619,51543744.0,3809488.25,52118012.0,3789357.75,56805924.0,4015192.0,58294796.0,4086089.25,5.932,4.048,
2015-09-13 15:03:34.103000+00:00,3,False,True,True,3.883,9.867,-5.515,11.303,1.131,34.622,2015-09-13 15:04:43.416798464+00:00,104,136,277,309,462,12.711,7.217,-6.482,17.697,7.188,-6.494,17.679,5.743,-12.195,20.174,5.743,-12.195,20.174,0.473,0.473,12.232,12.53,-45.535,3.283,-10.87,-51.702,7.784,-11.287,0.488,-256.371,-207.625,0.149,-256.245,-217.327,80959440.0,6298556.5,80247056.0,6335458.0,105282520.0,5857702.5,103700864.0,5794113.5,4.54,3.546,
2015-09-13 11:08:44.111000+00:00,3,False,False,True,5.41,7.859,-5.106,9.372,2.121,54.984,2015-09-13 11:14:25.018975488+00:00,878,910,1414,1446,1871,14.099,9.421,-11.941,17.55,9.442,-12.099,17.48,8.479,-9.529,24.678,8.479,-9.529,24.678,0.59,0.591,13.612,13.353,-16.204,-19.568,-34.956,-17.255,-20.257,-33.956,-2.782,-157.302,-257.575,-6.731,-139.407,-259.728,59701508.0,4427171.5,59702824.0,4587333.0,84262608.0,4779297.5,84948232.0,4782138.0,2.776,2.592,
2015-09-14 10:00:54.149000+00:00,3,False,False,True,5.759,7.122,-4.521,8.436,1.603,45.958,2015-09-14 10:02:12.887683584+00:00,73,105,1171,1203,1525,124.068,6.757,-20.509,50.323,6.678,-21.919,50.212,0.944,-20.748,-33.4,0.944,-20.748,-33.4,2.915,2.904,18.616,17.586,-38.698,-193.673,-188.614,-38.426,-191.721,-188.073,-68.449,-200.965,-158.357,-74.514,-191.933,-147.726,11138545.0,5582760.0,11119837.0,5777519.0,14823080.0,3803500.0,14966890.0,4110278.75,2.158,0.417,
2015-09-14 15:51:04.175000+00:00,3,False,False,True,3.596,10.101,-5.298,11.406,2.286,55.618,2015-09-14 15:53:43.188315392+00:00,2056,2088,3927,3959,3327,79.267,10.099,-22.35,14.884,10.272,-22.068,15.358,0.567,-14.106,-13.767,0.567,-14.106,-13.767,1.845,1.78,14.135,14.121,82.563,-115.385,34.62,83.038,-114.77,35.196,-70.837,-190.432,-98.39,-72.525,-189.946,-97.945,26095956.0,4879712.5,26231316.0,4861467.5,30069416.0,4395580.0,30256288.0,4386481.5,5.671,2.069,
