time, x, y, z, r_yz, index
2015-12-03 09:55:44.121,11.25596415055031,1.0806426590000766,-1.4020356529474243,1.7701673730431444,2271
2015-12-03 10:03:54.178,11.190517615785582,1.149235862158979,-1.4244011830988892,1.8302081294994315,2272
2015-12-03 10:10:24.184,11.138412612380309,1.2017093367642562,-1.4411061497818762,1.8764040782852536,2273
2015-12-03 10:24:04.097,11.024437413209299,1.3107291369825687,-1.474569842591988,1.9729082825151376,2274
2015-12-03 10:32:14.154,10.953189690017371,1.3753421931688488,-1.493535916400993,2.0303240337173407,2275
2015-12-03 10:55:44.176,10.72764975603894,1.5650481494327617,-1.5449845646101237,2.1991709835586786,2276
2015-12-03 10:58:24.078,10.697086008840657,1.5892420978580457,-1.551050420007014,2.220686346832478,2277
2015-12-04 00:48:44.173,9.484094654982249,-3.2360054995108443,-0.6911427201917748,3.3089892493839437,2278
2015-12-04 01:48:14.075,10.27537147100667,-2.850420173474493,-0.6866254478228768,2.9319532177284695,2279
2015-12-04 01:52:54.129,10.334151554394824,-2.8162188668089647,-0.6853598058237931,2.898414526807647,2280
2015-12-04 02:05:54.141,10.48161364912419,-2.726181336873601,-0.6817594075384728,2.810135329710145,2281
2015-12-04 02:13:04.197,10.557844652451946,-2.6770648091268243,-0.6797002601068667,2.7620044235762156,2282
2015-12-04 02:32:54.165,10.763637159586976,-2.5344674291634615,-0.6737499704366661,2.622491977519446,2283
2015-12-04 02:44:24.175,10.874043625498825,-2.451065677095467,-0.6705367415180219,2.5411301570681237,2284
2015-12-04 03:07:04.095,11.073678247037584,-2.285220440042745,-0.6654179122231922,2.380128874136153,2285
2015-12-04 03:11:44.149,11.111040580860362,-2.2516603209551445,-0.6646589321137504,2.3477107353765745,2286
2015-12-04 08:38:34.096,11.695322954109582,0.3434616811265794,-1.145860635279094,1.1962284572290132,2287
2015-12-04 10:20:44.089,11.02261338933302,1.1759058658895687,-1.4200586356735867,1.8437247989286862,2288
2015-12-04 10:27:54.145,10.955884501983503,1.237400036370469,-1.4376834111834103,1.8968638435063294,2289
2015-12-04 10:34:54.152,10.891378300391851,1.2948037238853545,-1.4536185273432787,1.946669850391438,2290
2015-12-04 23:50:54.099,8.606257026980709,-3.6585970706773296,-0.7127557371033344,3.727378873463557,2291
2015-12-05 00:02:44.209,8.80524751698975,-3.600118852328398,-0.7210895791503571,3.671624426878324,2292
2015-12-05 00:12:04.167,8.96403981237038,-3.549851587756211,-0.7264949822450051,3.6234294879744056,2293
2015-12-05 00:19:54.124,9.09392506210214,-3.5062351414176622,-0.7300660658019725,3.5814356517111547,2294
2015-12-05 00:26:44.080,9.196921986836276,-3.4699764628053433,-0.7323405864204311,3.546415004894619,2295
2015-12-05 00:27:54.131,9.220371555515301,-3.461508276058366,-0.7327885649821325,3.5382225235546074,2296
2015-12-05 00:30:24.133,9.259190408077004,-3.447312532552088,-0.7334727241246926,3.5244781080502667,2297
2015-12-05 00:31:14.084,9.266914743406286,-3.4444611893660713,-0.7336002935473872,3.5217158141652973,2298
2015-12-05 00:37:34.189,9.366142672954167,-3.4070313232603877,-0.7349845297676243,3.485407393214625,2299
2015-12-05 00:49:14.099,9.536361664899422,-3.3392236428800826,-0.7362482452578316,3.41942626997784,2300
2015-12-05 05:29:53.951,11.862098542903007,-1.302816463065166,-0.7244078001673078,1.490670116885982,2301
